45161
Date/Time (UTC),Wind_Speed (kts),Wind_Gust (kts),Wind_from_Direction (degrees_true),Water_Temperature_at_Surface (fahrenheit),Significant_Wave_Height (ft),Significant_Wave_Period (s),significant_wave_from_direction (degrees_true),Air_Temperature (fahrenheit),Air_Pressure (mb),Thermistor_String_at_1m (fahrenheit),Thermistor_String_at_22m (fahrenheit)
10/14/2020 00:00:00,15.98614016,19.125830528,-9999.0,60.242,4.5275592,4.35,204.39,61.4768,1012.522,60.242,-17966.2
10/14/2020 00:20:00,15.259921536,18.706738624,-9999.0,60.251,4.2322836,4.26,212.06,60.989,1012.815,60.26,-17966.2
10/14/2020 00:40:00,14.930246272,18.325745984,-9999.0,60.2456,3.8713912,4.01,212.05,60.8612,1013.135,60.242,-17966.2
10/14/2020 01:00:00,14.206749024,17.792356288,-9999.0,60.269,3.6417324,3.91,213.65,60.7298,1013.34,60.278,-17966.2
10/14/2020 01:20:00,13.80709552,17.639959232,-9999.0,60.2708,3.6745408,4.04,214.05,60.7496,1013.692,60.278,-17966.2
10/14/2020 01:40:00,12.645456736,15.81119456,-9999.0,60.2636,3.608924,3.88,220.76,60.458,1013.93,60.26,-17966.2
10/14/2020 02:00:00,12.79921448,17.220867328,-9999.0,60.26,3.7401576,4.0,211.91,60.2852,1014.293,60.26,-17966.2
10/14/2020 02:20:00,13.401416112,17.982852608,-9999.0,60.2762,3.608924,4.01,226.75,60.2186,1014.517,60.278,-17966.2
10/14/2020 02:40:00,12.893296336,15.696896768,-9999.0,60.26,3.2480316,3.73,224.83,59.9882,1014.565,60.26,-17966.2
10/14/2020 03:00:00,12.927896688,17.52566144,-9999.0,60.2636,3.3464568,3.96,224.69,60.0548,1014.743,60.26,-17966.2
10/14/2020 03:20:00,13.48150232,18.249547456,-9999.0,60.251,3.28084,3.69,238.16,59.9216,1014.888,60.26,-17966.2
10/14/2020 03:40:00,-19436.45616,17.449462912,-9999.0,-17966.2,-32805.11916,-9999.0,241.55,59.6588,-9999.0,60.242,-17966.2
10/14/2020 04:00:00,14.071068992,16.839874688,-9999.0,60.2312,3.0839896,3.69,242.9,59.5256,1015.213,60.224,-17966.2
10/14/2020 04:20:00,12.039367424,15.62069824,-9999.0,60.2456,3.0511812,3.74,243.76,59.2826,1015.317,60.242,-17966.2
10/14/2020 04:40:00,12.273794528,15.925492352,-9999.0,60.2366,2.8543308,3.64,257.61,59.0342,1015.32,60.242,-17966.2
10/14/2020 05:00:00,13.19575784,15.773095296,-9999.0,60.2258,3.3136484,3.8,249.23,59.0018,1015.49,60.224,-17966.2
10/14/2020 05:20:00,12.172909232,15.163507072,-9999.0,60.2312,-32805.11916,-9999.0,-9999.0,58.847,1015.522,60.224,-17966.2
10/14/2020 05:40:00,12.55623448,15.125407808,-9999.0,60.2078,3.116798,3.65,261.25,58.7876,1015.42,60.206,-17966.2
10/14/2020 06:00:00,10.982890384,14.553918848,-9999.0,60.1808,2.9855644,3.59,248.91,58.7552,1015.543,60.188,-17966.2
10/14/2020 06:20:00,12.37448544,14.782514432,-9999.0,60.188,2.788714,3.64,265.36,58.4654,1015.645,60.188,-17966.2
10/14/2020 06:40:00,11.951311472,14.85871296,-9999.0,60.197,2.9199476,3.57,264.92,58.3898,1015.705,60.188,-17966.2
10/14/2020 07:00:00,11.083581296,13.868132096,-9999.0,60.1934,2.7230972,3.46,254.31,58.3052,1015.78,60.188,-17966.2
10/14/2020 07:20:00,11.182522752,13.830032832,-9999.0,60.1844,2.9199476,3.64,259.3,58.0748,1015.61,60.188,-17966.2
10/14/2020 07:40:00,11.455243504,14.325323264,-9999.0,60.1736,2.5918636,3.57,255.79,57.965,1015.54,60.17,-17966.2
10/14/2020 08:00:00,11.221982704,13.677635776,-9999.0,60.1574,2.5590552,3.46,251.89,58.0622,1015.577,60.152,-17966.2
10/14/2020 08:20:00,12.526688112,14.782514432,-9999.0,60.1682,2.3950132,3.43,259.41,57.8102,1015.592,60.17,-17966.2
10/14/2020 08:40:00,11.304790288,13.71573504,-9999.0,60.1736,2.5590552,3.33,262.98,57.6356,1015.4,60.17,-17966.2
10/14/2020 09:00:00,10.223432096,13.14424608,-9999.0,60.1646,2.4278216,3.42,263.03,57.551,1015.24,60.17,-17966.2
10/14/2020 09:20:00,11.412090256,13.868132096,-9999.0,60.1376,2.2637796,3.24,257.47,57.7364,1015.34,60.134,-17966.2
10/14/2020 09:40:00,12.062110352,14.09672768,-9999.0,60.1574,2.296588,3.17,262.43,57.74,1015.225,60.152,-17966.2
10/14/2020 10:00:00,10.36844256,13.372841664,-9999.0,60.1484,2.132546,3.24,255.65,57.7256,1015.153,60.152,-17966.2
10/14/2020 10:20:00,9.563887184,11.848871104,-9999.0,60.1412,2.0997376,3.0,277.73,57.6824,1015.3,60.134,-17966.2
10/14/2020 10:40:00,9.930301024,12.534657856,-9999.0,60.1448,2.0013124,3.11,257.87,57.668,1015.6,60.152,-17966.2
10/14/2020 11:00:00,8.260736848,10.401099072,-9999.0,60.134,2.0669292,3.14,251.36,57.5798,1015.348,60.134,-17966.2
10/14/2020 11:20:00,8.0474976,10.09630496,-9999.0,60.1268,1.8700788,3.17,257.79,57.5924,1015.293,60.134,-17966.2
10/14/2020 11:40:00,7.51682928,9.296220416,-9999.0,60.1412,1.7060368,3.05,265.23,57.5564,1015.23,60.134,-17966.2
10/14/2020 12:00:00,6.029597296,7.962746176,-9999.0,60.1304,1.8372704,3.13,266.79,57.596,1015.15,60.134,-17966.2
10/14/2020 12:20:00,7.484561536,9.677213056,-9999.0,60.125,1.6732284,3.03,269.84,57.6266,1015.245,60.116,-17966.2
10/14/2020 12:40:00,7.479701936,9.220021888,-9999.0,60.1322,1.6732284,3.06,263.82,57.4898,1015.122,60.134,-17966.2
10/14/2020 13:00:00,6.845815712,8.800929984,-9999.0,60.098,1.5748032,2.98,283.77,57.6176,1014.912,60.098,-17966.2
10/14/2020 13:20:00,6.066335872,7.962746176,-9999.0,60.1232,1.5091864,2.98,288.57,57.821,1014.382,60.116,-17966.2
10/14/2020 13:40:00,8.509937136,10.172503488,-9999.0,60.1142,1.5748032,3.08,275.48,58.28,1014.283,60.116,-17966.2
10/14/2020 14:00:00,10.11865912,12.229863744,-9999.0,60.1214,1.4435696,2.88,323.27,58.2278,1014.11,60.116,-17966.2
10/14/2020 14:20:00,11.386237184,13.791933568,-9999.0,60.1034,1.476378,2.78,288.28,58.4672,1013.752,60.098,-17966.2
10/14/2020 14:40:00,13.428435488,16.839874688,-9999.0,60.0944,1.5419948,2.71,271.92,58.9586,1013.433,60.098,-17966.2
10/14/2020 15:00:00,16.519529856,19.925915072,-9999.0,60.0746,1.5748032,2.58,259.73,58.2422,1013.352,60.08,-17966.2
10/14/2020 15:20:00,18.948357936,22.173771648,-9999.0,60.0818,1.804462,2.57,253.46,58.3106,1012.493,60.08,-17966.2
10/14/2020 15:40:00,19.306413264,22.66906208,-9999.0,60.0692,2.0997376,2.81,244.99,58.082,1012.102,60.062,-17966.2
10/14/2020 16:00:00,19.0399128,23.011955456,-9999.0,60.0296,2.3950132,2.83,228.76,57.659,1011.483,60.026,-17966.2
10/14/2020 16:20:00,17.783609008,21.71658048,-9999.0,60.044,2.624672,3.07,195.93,57.713,1011.733,60.044,-17966.2
10/14/2020 16:40:00,20.017081168,23.773940736,-9999.0,60.0512,2.8871392,3.15,185.18,57.5024,1011.32,60.044,-17966.2
10/14/2020 17:00:00,20.308074016,25.412209088,-9999.0,60.0584,3.2152232,3.42,179.31,57.6194,1010.595,60.062,-17966.2
10/14/2020 17:20:00,20.91280264,24.231131904,-9999.0,60.0566,3.2152232,3.45,184.94,57.794,1010.49,60.062,-17966.2
10/14/2020 17:40:00,20.456777776,27.736264192,-9999.0,60.0638,3.608924,3.66,186.2,57.9164,1009.705,60.062,-17966.2
10/14/2020 18:00:00,20.793062096,26.250392896,-9999.0,60.0674,3.4776904,3.57,182.21,58.0388,1008.688,60.062,-17966.2
10/14/2020 18:20:00,22.01787568,26.631385536,-9999.0,60.071,4.0354332,3.8,184.24,58.406,1007.575,60.08,-17966.2
10/14/2020 18:40:00,19.508572624,23.697742208,-9999.0,60.0908,4.1338584,4.02,183.83,58.8722,1006.538,60.098,-17966.2
10/14/2020 19:00:00,18.910258672,22.8595584,-9999.0,60.107,3.9698164,4.01,189.49,59.531,1005.697,60.116,-17966.2
10/14/2020 19:20:00,18.677581024,23.926337792,-9999.0,60.1304,4.3963256,4.02,185.48,59.7848,1004.837,60.134,-17966.2
10/14/2020 19:40:00,19.24984752,23.278650304,-9999.0,60.1304,4.0682416,3.96,185.51,59.9468,1003.925,60.134,-17966.2
10/14/2020 20:00:00,18.000541552,24.459727488,-9999.0,60.1142,4.2322836,4.21,193.64,60.1556,1003.395,60.116,-17966.2
10/14/2020 20:20:00,20.07209184,23.659642944,-9999.0,60.107,4.1338584,4.1,189.9,60.2546,1002.6,60.116,-17966.2
10/14/2020 20:40:00,20.14692968,23.850139264,-9999.0,60.0962,3.7073492,3.83,193.91,60.2222,1001.582,60.098,-17966.2
10/14/2020 21:00:00,-19436.45616,24.840720128,-9999.0,-17966.2,-32805.11916,-9999.0,199.35,60.4328,1000.615,60.062,-17966.2
10/14/2020 21:20:00,19.740083968,22.821459136,-9999.0,60.0512,3.8057744,3.92,189.89,61.0034,1000.185,60.044,-17966.2
10/14/2020 21:40:00,18.921921712,23.392948096,-9999.0,60.044,3.8713912,3.92,190.26,61.5038,999.878,60.044,-17966.2
